___state___,___city_name___,latitude,longitude,___state_name___
AC,Acrelândia,-9.82581,-66.8972,Acre
AC,Assis Brasil,-10.9298,-69.5738,Acre
AC,Brasiléia,-10.995,-68.7497,Acre
AC,Bujari,-9.81528,-67.955,Acre
AC,Capixaba,-10.566,-67.686,Acre
AC,Cruzeiro do Sul,-7.62762,-72.6756,Acre
AC,Epitaciolândia,-11.0188,-68.7341,Acre
AC,Feijó,-8.17054,-70.351,Acre
AC,Jordão,-9.43091,-71.8974,Acre
AC,Mâncio Lima,-7.61657,-72.8997,Acre
AC,Manoel Urbano,-8.83291,-69.2679,Acre
AC,Marechal Thaumaturgo,-8.93898,-72.7997,Acre
AC,Plácido de Castro,-10.2806,-67.1371,Acre
AC,Porto Acre,-9.58138,-67.5478,Acre
AC,Porto Walter,-8.26323,-72.7537,Acre
AC,Rio Branco,-9.97499,-67.8243,Acre
AC,Rodrigues Alves,-7.73864,-72.661,Acre
AC,Santa Rosa do Purus,-9.44652,-70.4902,Acre
AC,Sena Madureira,-9.06596,-68.6571,Acre
AC,Senador Guiomard,-10.1497,-67.7362,Acre
AC,Tarauacá,-8.15697,-70.7722,Acre
AC,Xapuri,-10.6516,-68.4969,Acre
AL,Água Branca,-9.262,-37.938,Alagoas
AL,Anadia,-9.68489,-36.3078,Alagoas
AL,Arapiraca,-9.75487,-36.6615,Alagoas
AL,Atalaia,-9.5119,-36.0086,Alagoas
AL,Barra de Santo Antônio,-9.4023,-35.5101,Alagoas
AL,Barra de São Miguel,-9.83842,-35.9057,Alagoas
AL,Batalha,-9.6742,-37.133,Alagoas
AL,Belém,-9.57047,-36.4904,Alagoas
AL,Belo Monte,-9.82272,-37.277,Alagoas
AL,Boca da Mata,-9.64308,-36.2125,Alagoas
AL,Branquinha,-9.23342,-36.0162,Alagoas
AL,Cacimbinhas,-9.40121,-36.9911,Alagoas
AL,Cajueiro,-9.3994,-36.1559,Alagoas
AL,Campestre,-8.84723,-35.5685,Alagoas
AL,Campo Alegre,-9.78451,-36.3525,Alagoas
AL,Campo Grande,-9.95542,-36.7926,Alagoas
AL,Canapi,-9.11932,-37.5967,Alagoas
AL,Capela,-9.41504,-36.0826,Alagoas
AL,Carneiros,-9.48476,-37.3773,Alagoas
AL,Chã Preta,-9.2556,-36.2983,Alagoas
AL,Coité do Nóia,-9.63348,-36.5845,Alagoas
AL,Colônia Leopoldina,-8.91806,-35.7214,Alagoas
AL,Coqueiro Seco,-9.63715,-35.7994,Alagoas
