___city_name___,___state___,___state_name___,latitude,longitude
acrelandia,ac,acre,-9.82581,-66.8972
assis brasil,ac,acre,-10.9298,-69.5738
brasileia,ac,acre,-10.995,-68.7497
bujari,ac,acre,-9.81528,-67.955
capixaba,ac,acre,-10.565999999999999,-67.686
cruzeiro do sul,ac,acre,-7.627619999999999,-72.6756
epitaciolandia,ac,acre,-11.0188,-68.7341
feijo,ac,acre,-8.170539999999999,-70.351
jordao,ac,acre,-9.43091,-71.8974
mancio lima,ac,acre,-7.616569999999999,-72.8997
manoel urbano,ac,acre,-8.83291,-69.2679
marechal thaumaturgo,ac,acre,-8.93898,-72.7997
placido de castro,ac,acre,-10.2806,-67.1371
porto acre,ac,acre,-9.581380000000001,-67.5478
porto walter,ac,acre,-8.26323,-72.7537
rio branco,ac,acre,-9.97499,-67.8243
rodrigues alves,ac,acre,-7.738639999999999,-72.661
santa rosa do purus,ac,acre,-9.44652,-70.4902
sena madureira,ac,acre,-9.06596,-68.6571
senador guiomard,ac,acre,-10.1497,-67.7362
tarauaca,ac,acre,-8.15697,-70.7722
xapuri,ac,acre,-10.6516,-68.4969
agua branca,al,alagoas,-9.262,-37.938
anadia,al,alagoas,-9.68489,-36.3078
arapiraca,al,alagoas,-9.75487,-36.6615
atalaia,al,alagoas,-9.5119,-36.0086
barra de santo antonio,al,alagoas,-9.4023,-35.5101
barra de sao miguel,al,alagoas,-9.83842,-35.9057
batalha,al,alagoas,-9.6742,-37.133
belem,al,alagoas,-9.57047,-36.4904
belo monte,al,alagoas,-9.82272,-37.277
boca da mata,al,alagoas,-9.64308,-36.2125
branquinha,al,alagoas,-9.233419999999999,-36.0162
cacimbinhas,al,alagoas,-9.40121,-36.9911
cajueiro,al,alagoas,-9.3994,-36.1559
campestre,al,alagoas,-8.84723,-35.5685
campo alegre,al,alagoas,-9.784510000000001,-36.3525
campo grande,al,alagoas,-9.95542,-36.7926
canapi,al,alagoas,-9.11932,-37.5967
capela,al,alagoas,-9.41504,-36.0826
carneiros,al,alagoas,-9.484760000000001,-37.3773
cha preta,al,alagoas,-9.2556,-36.2983
coite do noia,al,alagoas,-9.63348,-36.5845
colonia leopoldina,al,alagoas,-8.91806,-35.7214
coqueiro seco,al,alagoas,-9.63715,-35.7994
coruripe,al,alagoas,-10.1276,-36.1717
craibas,al,alagoas,-9.6178,-36.7697
delmiro gouveia,al,alagoas,-9.38534,-37.9987
dois riachos,al,alagoas,-9.38465,-37.0965
estrela de alagoas,al,alagoas,-9.390889999999999,-36.7644
feira grande,al,alagoas,-9.898589999999999,-36.6815
feliz deserto,al,alagoas,-10.2935,-36.3028
flexeiras,al,alagoas,-9.27281,-35.7139
girau do ponciano,al,alagoas,-9.884039999999999,-36.8316
ibateguara,al,alagoas,-8.97823,-35.9373
igaci,al,alagoas,-9.53768,-36.6372
igreja nova,al,alagoas,-10.1235,-36.6597
inhapi,al,alagoas,-9.22594,-37.7509
jacare dos homens,al,alagoas,-9.63545,-37.2076
jacuipe,al,alagoas,-8.83951,-35.4591
japaratinga,al,alagoas,-9.08746,-35.2634
jaramataia,al,alagoas,-9.662239999999999,-37.0046
jequia da praia,al,alagoas,-10.0133,-36.0142
joaquim gomes,al,alagoas,-9.1328,-35.7474
jundia,al,alagoas,-8.93297,-35.5669
junqueiro,al,alagoas,-9.90696,-36.4803
lagoa da canoa,al,alagoas,-9.83291,-36.7413
limoeiro de anadia,al,alagoas,-9.74098,-36.5121
maceio,al,alagoas,-9.665989999999999,-35.735
major isidoro,al,alagoas,-9.53009,-36.992
mar vermelho,al,alagoas,-9.447389999999999,-36.3881
maragogi,al,alagoas,-9.007439999999999,-35.2267
maravilha,al,alagoas,-9.23045,-37.3524
marechal deodoro,al,alagoas,-9.709710000000001,-35.8967
maribondo,al,alagoas,-9.58353,-36.3045
mata grande,al,alagoas,-9.11824,-37.7323
matriz de camaragibe,al,alagoas,-9.15437,-35.5243
messias,al,alagoas,-9.393839999999999,-35.8392
minador do negrao,al,alagoas,-9.31236,-36.8696
monteiropolis,al,alagoas,-9.60357,-37.2505
